Product Name,Total number of comments (backer only),Number of Negative Comment,Number of Neutral Comment,Number of Positive Comment,% of Negative Comment,% of Neutral Comment,% of Positive Comment,Overall Score,Number of creator comment
sprayprinter-smart-spray-paint-technology,50,9,8,33,0.18,0.16,0.66,0.319652,0
rated-cards-unique-nsfw-greeting-cards,1,0,0,1,0,0,1,0.636,0
larp-box-a-monthly-subscription-gift-box-for-larpe,24,1,6,17,0.04,0.25,0.71,0.443066667,2
love-your-face-natural-skincare-for-fearless-women,26,0,2,24,0,0.08,0.92,0.768161538,0
daypocket-travel-clever,50,2,24,24,0.04,0.48,0.48,0.23689,0
teres-cache-the-most-singular-and-sleek-coin-exper,50,7,12,31,0.14,0.24,0.62,0.240784,0
kudos-ipresenter-for-iphone-for-business-presentat,20,7,8,5,0.35,0.4,0.25,0.004425,0
1-voice-beanie-with-wireless-bluetooth-headphones,50,7,8,35,0.14,0.16,0.7,0.397378,0
throttle-opener-relaunch-magnetic-one-handed-bottl,44,0,8,36,0,0.18,0.82,0.493165909,0
the-48hr-switch-backpack-messenger-briefcase-in-a,50,1,5,44,0.02,0.1,0.88,0.645654,0
tic-smart-bottles-for-lifes-travels,50,17,7,26,0.34,0.14,0.52,0.199544,0
wexford-plaza-a-first-feature-film-by-joyce-wong,1,0,0,1,0,0,1,0.9622,0
zna,50,11,7,32,0.22,0.14,0.64,0.260628,0
matsuri,12,0,0,12,0,0,1,0.8314,0
chameleon-a-better-home-screen-for-your-android-ta,50,7,10,33,0.14,0.2,0.66,0.366366,0
a-collection-of-conscience-surface-awareness,0,0,0,0,0,0,0,0,0
the-mechanical-watches-disrupting-swiss-watchmakin,50,9,15,26,0.18,0.3,0.52,0.192196,0
dotlens-smartphone-microscope,4,1,1,2,0.25,0.25,0.5,0.13565,1
clare-means-funding-the-fiery-one-album,50,3,3,44,0.06,0.06,0.88,0.681944,0
david-walsh-bowlmaker-fine-wooden-bowls-ltd-editio-18,0,0,0,0,0,0,0,0,0
key-bit,50,5,18,27,0.1,0.36,0.54,0.266654,0
titanium-nano-pop,10,0,5,5,0,0.5,0.5,0.30923,9
indestructible-minimalistic-titanium-edc-pen,50,9,11,30,0.18,0.22,0.6,0.32987,0
iv-robotics-first-resistorsandcapacitor-adapted-to,49,15,11,23,0.31,0.22,0.47,0.127406122,1
up-squared-the-first-maker-board-with-intel-apollo,50,16,9,25,0.32,0.18,0.5,0.08508,0
filipino-american-artist-directory-publish-our-fir,0,0,0,0,0,0,0,0,0
tempus-finally-a-selfie-stick-worth-owning,8,1,2,5,0.12,0.25,0.62,0.2981375,2
